config,query,kernel_total_ms,sync_total_ms,sync_per_kernel,h2d_bytes,kernel_gap_p50_us,kernel_gap_p95_us,top5_kernels
dec_region,22,78.54,142.04,1.809,156014,152.8,4272.0,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|31186319|4;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|19552186|4;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|4975855|29;void cuco::detail::open_addressing_ns::contains_if_n<(int)1,|3864849|6;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|2572823|6
dec_region,3,492.82,2835.45,5.754,2029877,339.7,1927.3,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|131406996|202;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|110463255|388;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|75992362|379;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|41899416|592;void cub::detail::transform::transform_kernel<cub::detail::t|23624792|350
dec_region,4,180.01,802.3,4.457,1425460,351.2,8741.5,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|51240119|26;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|30896718|26;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|26082990|246;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|14905815|150;void cub::detail::transform::transform_kernel<cub::detail::t|9236044|65
dec_region,7,99.23,384.33,3.873,1969679,470.9,1241.3,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|47893780|944;void cub::detail::transform::transform_kernel<cub::detail::t|16360703|208;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|10397844|223;void cub::detail::for_each::static_kernel<cub::detail::for_e|7863582|52;void cub::detail::for_each::static_kernel<cub::detail::for_e|5116741|52
enc_region,1,1528.62,4650.39,3.042,59926143,156.2,2395.1,cudf::groupby::detail::hash::<unnamed>::single_pass_shmem_ag|912658271|76;void cudf::groupby::detail::hash::mapping_indices_kernel<cuc|179797921|76;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|94135549|1152;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|56772716|148;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|33245353|576
enc_region,10,852.72,4310.63,5.055,54174199,235.1,1372.4,sirius::cuda::scan::kernel_compute_lengths_fsst(const sirius|76952396|157;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|71186763|669;void cub::detail::transform::transform_kernel<cub::detail::t|65469580|153;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|56430026|166;sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|52052525|157
enc_region,11,45.96,125.03,2.721,3778872,198.0,3067.8,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|15130583|9;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|10992226|109;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|8369514|9;void cub::detail::for_each::static_kernel<cub::detail::for_e|6441007|9;void cub::detail::transform::transform_kernel<cub::detail::t|1288986|41
enc_region,12,271.18,1313.59,4.844,40074237,219.1,1903.4,void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|39279225|564;void cub::detail::for_each::static_kernel<cub::detail::for_e|29726966|257;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|28729931|229;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|22583813|12;void cub::detail::for_each::static_kernel<cub::detail::for_e|19656292|245
enc_region,13,800.59,3143.76,3.927,35430380,233.9,8228.1,sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|193667990|153;void cub::detail::transform::transform_kernel<cub::detail::t|186741996|40;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|104861592|2;sirius::cuda::scan::kernel_compute_lengths_fsst(const sirius|83462068|153;void cudf::strings::detail::gather_chars_fn_string_parallel<|61958789|40
enc_region,14,132.02,727.0,5.507,28778881,227.6,2153.0,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|48516344|515;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|12976990|169;void cub::detail::for_each::static_kernel<cub::detail::for_e|8495462|43;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|6673200|4;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|5582480|8
enc_region,15,134.27,543.25,4.046,28604881,184.0,2031.0,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|46747034|508;void cub::detail::for_each::static_kernel<cub::detail::for_e|19760820|47;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|13071940|169;void cub::detail::for_each::static_kernel<cub::detail::for_e|8397167|43;void cub::detail::transform::transform_kernel<cub::detail::t|5959473|219
enc_region,16,222.56,990.05,4.448,3584818,218.3,4476.1,void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel|57770137|11;void cub::detail::merge_sort::DeviceMergeSortMergeKernel<cub|51827684|82;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|18370292|9;void cub::detail::merge_sort::DeviceMergeSortPartitionKernel|13333605|82;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|12727331|26
enc_region,17,344.11,1291.67,3.754,36132165,235.1,6937.9,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|165816296|63;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|85969569|63;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|76621843|648;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|3691222|19;void cub::detail::transform::transform_kernel<cub::detail::t|2339703|229
enc_region,18,591.45,4779.65,8.081,36680019,436.6,8972.1,void cub::detail::for_each::static_kernel<cub::detail::for_e|266820991|63;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|76816827|31;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|68965516|526;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|36837360|31;void cub::detail::transform::transform_kernel<cub::detail::t|33171677|210
